Student_ID,Age,Gender,High_School_GPA,SAT_Score,University_GPA,Field_of_Study,Internships_Completed,Projects_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Current_Job_Level,Work_Life_Balance,Entrepreneurship,Job_Role
,,,,,8.88,Food Science & Nutrition,0,,Photoshop,,,,,,,,,,Senior Researcher
,,,,,7.0,Accounting & Finance,1,,Photoshop,,,,,,,,,,Tax Consultant
,,,,,7.0,Physics (M.Sc),1,,Photoshop,,,,,,,,,,Clinical Psychologist
,,,,,7.59,Nursing,2,,React,,,,,,,,,,Microbiologist
,,,,,6.27,Communication Design,1,,,,,,,,,,,,Interior Architect
,,,,,9.05,International Business,0,,PMP,,,,,,,,,,Business Analyst
,,,,,7.04,Artificial Intelligence,1,,Six Sigma,,,,,,,,,,Data Analyst
,,,,,8.01,Nutrition & Dietetics,1,,Python,,,,,,,,,,Microbiologist
,,,,,9.19,English,1,,Photoshop,,,,,,,,,,Content Writer
,,,,,8.64,Animation & Multimedia,1,,PMP,,,,,,,,,,UI/UX Designer
,,,,,8.17,Accounting & Finance,1,,,,,,,,,,,,Financial Auditor
,,,,,8.4,Manufacturing Engineering,2,,CFA,,,,,,,,,,Senior Data Scientist
,,,,,7.11,Business Analytics (Advanced),2,,AutoCAD,,,,,,,,,,HR Director
,,,,,9.88,Forensic Science,0,,,,,,,,,,,,Software Developer
,,,,,6.84,Game Design,0,,AWS,,,,,,,,,,Fashion Stylist
S399,21.0,Male,3.6,1360.0,8.5,Psychology,2,5.0,2,8.0,7.0,2.0,80000.0,7.0,3.0,Mid,6.0,No,
,,,,,7.84,Sanskrit,1,,Google Analytics,,,,,,,,,,Psychologist
,,,,,6.88,Electronics,0,,CFA,,,,,,,,,,Data Analyst
,,,,,9.95,Production Engineering,0,,C++,,,,,,,,,,Project Manager
,,,,,8.27,Biotechnology,1,,React,,,,,,,,,,Biomedical Engineer
S150,25.0,Female,3.7,1400.0,8.75,Psychology,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,Mid,7.0,No,
,,,,,8.82,Environmental Science (M.Sc),2,,React,,,,,,,,,,Senior Researcher
,,,,,9.23,Electrical Engineering,0,,CFA,,,,,,,,,,VLSI Design Engineer
,,,,,9.0,Computer Science Engineering,2,,Scrum Master,,,,,,,,,,AI Engineer
,,,,,6.94,Automobile Engineering,1,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,9.15,English,0,,C++,,,,,,,,,,Content Writer
S174,21.0,Female,3.9,1560.0,9.5,Computer Science,4,9.0,5,10.0,9.0,5.0,140000.0,10.0,1.0,Senior,5.0,No,
,,,,,8.91,Cybersecurity,1,,Scrum Master,,,,,,,,,,AI Engineer
,,,,,7.49,Agri-Business Management,1,,Google Analytics,,,,,,,,,,Portfolio Manager
,,,,,8.39,Banking & Financial Services,2,,,,,,,,,,,,Hospital Administrator
,,,,,9.8,Product Design,0,,C++,,,,,,,,,,UI/UX Designer
,,,,,7.98,Instrumentation Engineering,0,,CPA,,,,,,,,,,Embedded Systems Engineer
,,,,,6.99,Food Science & Nutrition,0,,Java,,,,,,,,,,Clinical Psychologist
,,,,,8.56,Healthcare Management (Advanced),2,,Photoshop,,,,,,,,,,Supply Chain Manager
,,,,,9.25,Psychology (M.Sc),2,,PMP,,,,,,,,,,Senior Researcher
,,,,,9.78,Aerospace Engineering,1,,Java,,,,,,,,,,Robotics Engineer
,,,,,8.14,Retail Management (Advanced),2,,AWS,,,,,,,,,,Hospital Administrator
,,,,,7.88,Digital Marketing,1,,Scrum Master,,,,,,,,,,Marketing Executive
,,,,,7.17,Textile Design,2,,Six Sigma,,,,,,,,,,Fashion Stylist
,,,,,8.97,International Business,0,,Java,,,,,,,,,,Chartered Accountant
,,,,,8.58,Travel & Tourism,1,,Google Analytics,,,,,,,,,,Hotel Manager
,,,,,7.14,Healthcare Management,2,,Photoshop,,,,,,,,,,Aviation Operations Manager
,,,,,8.75,Textile Engineering,2,,Scrum Master,,,,,,,,,,Robotics Engineer
S389,21.0,Male,3.6,1340.0,8.5,Marketing,2,5.0,2,7.0,6.0,2.0,78000.0,7.0,3.0,Mid,6.0,No,
,,,,,8.83,Human Resource Management,1,,AWS,,,,,,,,,,Business Analyst
,,,,,7.49,Product Design,1,,AWS,,,,,,,,,,Fashion Stylist
,,,,,9.82,Healthcare Management (Advanced),1,,CFA,,,,,,,,,,Supply Chain Manager
,,,,,8.73,Chemical Engineering,1,,CPA,,,,,,,,,,Project Manager
,,,,,6.73,Biotechnology,1,,Photoshop,,,,,,,,,,Dietician
,,,,,7.98,Chemistry,1,,Python,,,,,,,,,,Lab Technician
,,,,,7.81,Hospitality & Tourism (Advanced),1,,C++,,,,,,,,,,Hospital Administrator
,,,,,8.6,Production Engineering,0,,Six Sigma,,,,,,,,,,Project Manager
S098,23.0,Female,3.8,1520.0,9.25,Psychology,3,8.0,3,9.0,8.0,4.0,100000.0,9.0,2.0,Mid,6.0,No,
,,,,,9.8,Embedded Systems,2,,Photoshop,,,,,,,,,,R&D Engineer
,,,,,7.89,Biotechnology (Masters),0,,CPA,,,,,,,,,,Senior Data Scientist
,,,,,9.09,Computer Science (M.Sc),0,,,,,,,,,,,,Senior Researcher
,,,,,9.79,Embedded Systems,0,,CPA,,,,,,,,,,R&D Engineer
S351,22.0,Male,3.5,1300.0,8.0,Engineering,2,6.0,2,7.0,6.0,2.0,74000.0,7.0,4.0,Mid,6.0,No,
,,,,,9.17,Education,2,,CPA,,,,,,,,,,Content Writer
,,,,,8.8,Fashion Design,2,,Scrum Master,,,,,,,,,,Clinical Research Associate
S385,25.0,Male,3.9,1580.0,9.5,Medicine,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,Senior,5.0,No,
,,,,,7.08,AI & Data Science,0,,C++,,,,,,,,,,Full Stack Developer
,,,,,7.97,Robotics,2,,CPA,,,,,,,,,,Senior Data Scientist
,,,,,10.0,Communication Design,1,,Six Sigma,,,,,,,,,,UI/UX Designer
S261,22.0,Male,3.4,1260.0,7.75,Business,1,4.0,1,7.0,6.0,1.0,54000.0,6.0,5.0,Entry,8.0,No,
,,,,,6.28,Industrial Design,2,,React,,,,,,,,,,Interior Architect
,,,,,9.43,Nursing,2,,C++,,,,,,,,,,Clinical Research Associate
,,,,,9.57,Hospitality Management,1,,Scrum Master,,,,,,,,,,Hotel Manager
,,,,,8.82,International Business (Advanced),1,,Python,,,,,,,,,,Investment Banker
,,,,,8.0,Electrical Engineering,1,,,,,,,,,,,,Embedded Systems Engineer
,,,,,8.21,Healthcare Management (Advanced),0,,Photoshop,,,,,,,,,,Hospital Administrator
,,,,,8.13,Aviation Management,1,,React,,,,,,,,,,Retail Store Manager
,,,,,8.36,Forensic Science (M.Sc),0,,C++,,,,,,,,,,Data Engineer
,,,,,7.6,Logistics & Supply Chain (Advanced),1,,Six Sigma,,,,,,,,,,Hospital Administrator
,,,,,6.31,Marketing (Advanced),1,,Google Analytics,,,,,,,,,,Business Development Manager
,,,,,6.11,Hindi,2,,Python,,,,,,,,,,Social Worker
,,,,,8.57,Cybersecurity,0,,Python,,,,,,,,,,AI Engineer
,,,,,8.1,Retail Management (Advanced),1,,Six Sigma,,,,,,,,,,Hospital Administrator
,,,,,9.78,Digital Marketing,1,,C++,,,,,,,,,,Business Analyst
,,,,,9.47,Biotechnology,0,,Scrum Master,,,,,,,,,,Robotics Engineer
,,,,,8.35,Finance (Advanced),0,,C++,,,,,,,,,,Product Manager
,,,,,9.57,Information Technology (Masters),2,,Six Sigma,,,,,,,,,,R&D Engineer
,,,,,8.84,IT Management,0,,Google Analytics,,,,,,,,,,Investment Banker
,,,,,7.97,Data Science,2,,Scrum Master,,,,,,,,,,Lab Technician
,,,,,9.25,Public Administration,2,,Scrum Master,,,,,,,,,,Journalist
,,,,,6.97,Textile Design,1,,C++,,,,,,,,,,Fashion Stylist
,,,,,7.7,Data Science (M.Sc),2,,Python,,,,,,,,,,Data Engineer
,,,,,9.18,Banking & Financial Services,1,,Java,,,,,,,,,,Supply Chain Manager
S333,23.0,Male,3.6,1380.0,8.5,Marketing,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,Mid,6.0,No,
,,,,,7.25,History,2,,Java,,,,,,,,,,Policy Analyst
,,,,,8.18,Business Analytics,1,,AWS,,,,,,,,,,Financial Auditor
,,,,,8.6,Artificial Intelligence (M.Sc),1,,React,,,,,,,,,,Senior Researcher
S099,21.0,Male,3.6,1360.0,8.5,Engineering,2,5.0,2,8.0,7.0,2.0,78000.0,7.0,3.0,Mid,6.0,No,
S312,24.0,Female,3.9,1540.0,9.75,Computer Science,4,9.0,5,10.0,9.0,5.0,136000.0,10.0,1.0,Senior,5.0,No,
,,,,,8.8,Power Systems,0,,,,,,,,,,,,R&D Engineer
,,,,,6.94,Petroleum Engineering,2,,CPA,,,,,,,,,,Automotive Design Engineer
,,,,,8.35,International Business,1,,,,,,,,,,,,Financial Auditor
,,,,,8.76,Agri-Business Management,2,,AutoCAD,,,,,,,,,,Supply Chain Manager
,,,,,9.41,Psychology,2,,CFA,,,,,,,,,,Content Writer
,,,,,9.16,Cybersecurity,2,,Python,,,,,,,,,,AI Engineer
,,,,,8.82,Data Science,0,,AutoCAD,,,,,,,,,,Software Developer
S353,23.0,Male,3.6,1380.0,8.75,Marketing,3,7.0,3,8.0,7.0,3.0,90000.0,8.0,3.0,Mid,6.0,No,
,,,,,9.48,Forensic Science (M.Sc),2,,Photoshop,,,,,,,,,,Senior Researcher
,,,,,6.34,Food Science & Nutrition,1,,Python,,,,,,,,,,Statistician
,,,,,8.94,Food Technology,1,,Google Analytics,,,,,,,,,,Robotics Engineer
,,,,,8.99,Logistics & Supply Chain,1,,Java,,,,,,,,,,Business Analyst
,,,,,6.27,Geography,0,,Scrum Master,,,,,,,,,,Social Worker
,,,,,9.49,Animation & Multimedia,0,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,9.93,Electronics & Communication Engineering,1,,Python,,,,,,,,,,VLSI Design Engineer
,,,,,6.31,AI & Machine Learning,0,,Google Analytics,,,,,,,,,,System Engineer
,,,,,8.41,Textile Design,2,,CPA,,,,,,,,,,Product Designer
,,,,,9.84,Psychology,0,,CPA,,,,,,,,,,Clinical Research Associate
,,,,,7.09,Metallurgical Engineering,0,,Google Analytics,,,,,,,,,,Process Engineer
,,,,,8.2,Finance,0,,Python,,,,,,,,,,Marketing Executive
,,,,,9.28,Mechanical Engineering ,2,,Python,,,,,,,,,,Project Manager
,,,,,6.6,Chemistry (M.Sc),1,,AWS,,,,,,,,,,Clinical Psychologist
,,,,,9.74,Machine Learning,0,,Python,,,,,,,,,,R&D Engineer
,,,,,9.82,Digital Marketing (Advanced),0,,AWS,,,,,,,,,,Investment Banker
,,,,,7.57,Food Technology,0,,AutoCAD,,,,,,,,,,Biomedical Engineer
,,,,,9.86,Data Science,2,,C++,,,,,,,,,,Software Developer
,,,,,9.93,Entrepreneurship (Advanced),0,,Six Sigma,,,,,,,,,,Investment Banker
,,,,,9.97,Mechanical Design,2,,CFA,,,,,,,,,,R&D Engineer
,,,,,6.64,Environmental Science (M.Sc),0,,React,,,,,,,,,,Clinical Psychologist
,,,,,7.73,Computer Science Engineering,2,,Six Sigma,,,,,,,,,,Data Scientist
,,,,,9.35,Computer Science Engineering (Masters),1,,C++,,,,,,,,,,R&D Engineer
,,,,,6.12,Structural Engineering,1,,Scrum Master,,,,,,,,,,Robotics System Architect
,,,,,7.17,Human Resource Management,2,,CPA,,,,,,,,,,HR Generalist
S026,22.0,Female,3.5,1320.0,8.25,Nursing,2,5.0,2,7.0,6.0,2.0,65000.0,7.0,4.0,Mid,7.0,No,
,,,,,8.2,Electrical Engineering,0,,,,,,,,,,,,Embedded Systems Engineer
,,,,,8.1,Industrial Design,2,,CFA,,,,,,,,,,Product Designer
S388,23.0,Female,3.8,1520.0,9.25,Computer Science,3,8.0,3,9.0,8.0,4.0,106000.0,9.0,2.0,Mid,6.0,No,
,,,,,8.84,Hospitality Management,0,,AutoCAD,,,,,,,,,,Hotel Manager
,,,,,6.23,Forensic Science (M.Sc),0,,Java,,,,,,,,,,Statistician
,,,,,8.21,Hospitality & Tourism (Advanced),2,,CFA,,,,,,,,,,Hospital Administrator
,,,,,7.13,Retail Management,2,,Google Analytics,,,,,,,,,,Aviation Operations Manager
,,,,,6.59,Travel & Tourism,2,,Java,,,,,,,,,,Aviation Operations Manager
,,,,,7.02,Political Science,1,,Google Analytics,,,,,,,,,,Policy Analyst
,,,,,8.32,Physics,0,,C++,,,,,,,,,,Lab Technician
S355,25.0,Male,3.8,1480.0,9.25,Engineering,4,8.0,4,9.0,8.0,4.0,116000.0,9.0,2.0,Mid,6.0,No,
,,,,,9.12,Mechatronics Engineering,0,,CFA,,,,,,,,,,Robotics Engineer
,,,,,7.77,Computer Science Engineering,0,,PMP,,,,,,,,,,Data Scientist
,,,,,8.03,Finance (Advanced),1,,Photoshop,,,,,,,,,,Product Manager
,,,,,8.16,Physics (M.Sc),2,,AWS,,,,,,,,,,Data Engineer
,,,,,8.79,Information Technology,0,,,,,,,,,,,,AI Engineer
,,,,,8.78,Entrepreneurship,0,,CFA,,,,,,,,,,Business Analyst
S362,24.0,Female,3.8,1500.0,9.25,Engineering,3,8.0,3,9.0,8.0,4.0,110000.0,9.0,2.0,Mid,6.0,No,
,,,,,9.88,Electronics & Communication Engineering,2,,Six Sigma,,,,,,,,,,VLSI Design Engineer
,,,,,9.0,Data Science (M.Sc),1,,Six Sigma,,,,,,,,,,Senior Researcher
,,,,,6.94,Human Resource (Advanced),0,,PMP,,,,,,,,,,HR Director
,,,,,8.0,Hindi,1,,AWS,,,,,,,,,,Psychologist
,,,,,7.77,Business Analytics,0,,AutoCAD,,,,,,,,,,Marketing Executive
,,,,,6.44,Artificial Intelligence (M.Sc),0,,Six Sigma,,,,,,,,,,Statistician
,,,,,6.47,Electronics (M.Sc),2,,Python,,,,,,,,,,Statistician
,,,,,6.24,Game Design,0,,Photoshop,,,,,,,,,,Interior Architect
,,,,,7.98,Finance,1,,CPA,,,,,,,,,,Marketing Executive
,,,,,6.64,Computer Science (M.Sc),0,,PMP,,,,,,,,,,Clinical Psychologist
,,,,,9.08,Marketing,2,,Python,,,,,,,,,,Business Analyst
,,,,,8.88,Statistics,0,,PMP,,,,,,,,,,Software Developer
,,,,,7.16,Robotics,0,,Python,,,,,,,,,,VLSI Architect
S329,21.0,Male,3.6,1360.0,8.5,Law,2,5.0,2,8.0,7.0,2.0,82000.0,7.0,3.0,Mid,6.0,No,
,,,,,9.37,Healthcare Management,2,,CFA,,,,,,,,,,Hotel Manager
,,,,,6.57,Artificial Intelligence,1,,AutoCAD,,,,,,,,,,Data Analyst
,,,,,7.92,Entrepreneurship (Advanced),0,,Scrum Master,,,,,,,,,,Product Manager
S151,22.0,Male,3.5,1300.0,8.0,Engineering,2,6.0,2,7.0,6.0,2.0,74000.0,7.0,4.0,Mid,6.0,No,
,,,,,8.48,Game Design,2,,C++,,,,,,,,,,Product Designer
,,,,,8.64,Interior Design,1,,AWS,,,,,,,,,,UI/UX Designer
,,,,,8.61,History,1,,Java,,,,,,,,,,Content Writer
,,,,,8.14,Thermal Engineering,0,,Six Sigma,,,,,,,,,,Senior Data Scientist
,,,,,9.07,Entrepreneurship,1,,React,,,,,,,,,,Business Analyst
,,,,,9.5,Environmental Science,1,,Photoshop,,,,,,,,,,Clinical Research Associate
,,,,,9.83,Artificial Intelligence,0,,CPA,,,,,,,,,,Software Developer
,,,,,9.16,Aeronautical Engineering,0,,Photoshop,,,,,,,,,,Robotics Engineer
,,,,,7.43,Embedded Systems,0,,AWS,,,,,,,,,,VLSI Architect
,,,,,8.3,Aeronautical Engineering,2,,Scrum Master,,,,,,,,,,Biomedical Engineer
,,,,,7.78,Performing Arts,2,,CPA,,,,,,,,,,Public Relations Officer
,,,,,6.96,Mechanical Engineering ,1,,Photoshop,,,,,,,,,,Process Engineer
,,,,,8.34,Hospitality & Tourism (Advanced),0,,Photoshop,,,,,,,,,,Hospital Administrator
,,,,,7.36,Finance (Advanced),0,,,,,,,,,,,,HR Director
,,,,,7.75,Operations Management (Advanced),2,,Photoshop,,,,,,,,,,Product Manager
,,,,,6.62,Agri-Business Management,2,,,,,,,,,,,,Portfolio Manager
,,,,,6.1,Power Systems,1,,Scrum Master,,,,,,,,,,Robotics System Architect
,,,,,7.13,Transportation Engineering,0,,AWS,,,,,,,,,,VLSI Architect
,,,,,8.4,Logistics & Supply Chain,2,,,,,,,,,,,,Marketing Executive
,,,,,9.44,Marine Engineering,2,,Six Sigma,,,,,,,,,,Robotics Engineer
,,,,,6.21,IT Management,1,,AutoCAD,,,,,,,,,,Business Development Manager
,,,,,9.01,Healthcare Management (Advanced),2,,Java,,,,,,,,,,Supply Chain Manager
,,,,,7.65,Mechanical Design,0,,Java,,,,,,,,,,Senior Data Scientist
,,,,,8.38,International Business (Advanced),0,,,,,,,,,,,,Product Manager
,,,,,6.87,Electronics & Communication Engineering,2,,AWS,,,,,,,,,,Control Systems Engineer
,,,,,8.51,Fine Arts,1,,CFA,,,,,,,,,,Journalist
,,,,,6.79,Robotics & Automation,1,,Java,,,,,,,,,,Automotive Design Engineer
,,,,,8.83,Banking & Insurance,1,,Google Analytics,,,,,,,,,,Hotel Manager
,,,,,6.04,Computer Science,1,,CFA,,,,,,,,,,Forensic Expert
,,,,,9.64,Fashion Design,0,,Six Sigma,,,,,,,,,,UI/UX Designer
,,,,,8.88,Political Science,1,,Six Sigma,,,,,,,,,,Content Writer
,,,,,6.47,Aviation Management,0,,CFA,,,,,,,,,,Relationship Manager
S005,25.0,Male,3.7,1420.0,8.75,Medicine,2,6.0,2,8.0,7.0,3.0,95000.0,8.0,2.0,Mid,5.0,No,
,,,,,9.44,Statistics (M.Sc),2,,Java,,,,,,,,,,Senior Researcher
,,,,,8.92,Biomedical Engineering,0,,Java,,,,,,,,,,Robotics Engineer
,,,,,6.07,Electrical & Electronics Engineering,2,,Scrum Master,,,,,,,,,,Maintenance Engineer
,,,,,6.17,Operations Management,2,,CFA,,,,,,,,,,Sales Manager
,,,,,8.76,Production Engineering,0,,,,,,,,,,,,Project Manager
,,,,,6.19,Environmental Engineering,0,,Photoshop,,,,,,,,,,Food Safety Officer
,,,,,6.8,Machine Learning,2,,AutoCAD,,,,,,,,,,VLSI Architect
,,,,,7.9,Operations Management (Advanced),0,,CPA,,,,,,,,,,Product Manager
,,,,,9.78,Retail Management (Advanced),2,,Photoshop,,,,,,,,,,Supply Chain Manager
,,,,,8.55,Mining Engineering,2,,PMP,,,,,,,,,,Project Manager
,,,,,9.43,Chemistry,2,,Python,,,,,,,,,,Software Developer
,,,,,6.69,Psychology (M.Sc),0,,Scrum Master,,,,,,,,,,Clinical Psychologist
,,,,,8.7,Computer Science Engineering (Masters),2,,Six Sigma,,,,,,,,,,R&D Engineer
,,,,,7.76,Computer Applications,2,,Scrum Master,,,,,,,,,,Financial Auditor
,,,,,8.21,Physics (M.Sc),0,,Google Analytics,,,,,,,,,,Data Engineer
S177,24.0,Male,3.8,1500.0,9.25,Medicine,4,8.0,4,9.0,8.0,4.0,118000.0,9.0,2.0,Mid,6.0,No,
,,,,,8.8,Data Science,1,,Six Sigma,,,,,,,,,,AI Engineer
,,,,,6.45,Transportation Engineering,0,,AWS,,,,,,,,,,Robotics System Architect
,,,,,7.5,Mining Engineering,2,,,,,,,,,,,,Process Engineer
,,,,,6.97,Chemistry,2,,AWS,,,,,,,,,,Data Analyst
,,,,,7.97,Interior Design,0,,Google Analytics,,,,,,,,,,Product Designer
,,,,,6.81,Information Technology (M.Sc),1,,Google Analytics,,,,,,,,,,Clinical Psychologist
,,,,,7.33,Tamil,2,,AutoCAD,,,,,,,,,,Policy Analyst
,,,,,6.43,Environmental Engineering (Masters),1,,Java,,,,,,,,,,Robotics System Architect
,,,,,7.02,Environmental Engineering,2,,React,,,,,,,,,,Automotive Design Engineer
,,,,,9.44,Environmental Engineering (Masters),0,,AutoCAD,,,,,,,,,,R&D Engineer
,,,,,7.82,Communication Design,1,,AWS,,,,,,,,,,Product Designer
,,,,,7.17,Logistics & Supply Chain (Advanced),2,,C++,,,,,,,,,,Portfolio Manager
,,,,,8.13,History,1,,Python,,,,,,,,,,Psychologist
,,,,,6.36,Food Science & Nutrition,2,,Photoshop,,,,,,,,,,Statistician
,,,,,8.01,Automobile Engineering,0,,AutoCAD,,,,,,,,,,Biomedical Engineer
,,,,,9.45,Aviation Management (Advanced),2,,Java,,,,,,,,,,Supply Chain Manager
,,,,,9.72,Philosophy,2,,CFA,,,,,,,,,,Content Writer
,,,,,9.65,Nursing,0,,Scrum Master,,,,,,,,,,Clinical Research Associate
,,,,,8.1,Psychology,1,,Six Sigma,,,,,,,,,,Psychologist
,,,,,7.1,Political Science,2,,AWS,,,,,,,,,,Policy Analyst
,,,,,6.93,Mining Engineering,0,,React,,,,,,,,,,Process Engineer
,,,,,9.05,Banking & Insurance,2,,Scrum Master,,,,,,,,,,Chartered Accountant
,,,,,6.5,Embedded Systems,0,,Google Analytics,,,,,,,,,,Robotics System Architect
,,,,,7.58,Textile Design,1,,Python,,,,,,,,,,Product Designer
,,,,,6.99,Transportation Engineering,0,,CPA,,,,,,,,,,VLSI Architect
,,,,,8.28,Banking & Insurance,0,,Google Analytics,,,,,,,,,,Retail Store Manager
,,,,,9.78,Aerospace Engineering,1,,Six Sigma,,,,,,,,,,Robotics Engineer
,,,,,9.64,Biotechnology (Masters),2,,CFA,,,,,,,,,,R&D Engineer
,,,,,9.75,VLSI,1,,C++,,,,,,,,,,R&D Engineer
,,,,,9.2,Banking & Financial Services,0,,AWS,,,,,,,,,,Supply Chain Manager
,,,,,9.51,International Business (Advanced),2,,CPA,,,,,,,,,,Investment Banker
,,,,,9.2,Marketing,0,,Six Sigma,,,,,,,,,,Business Analyst
,,,,,9.27,Data Science (Masters),0,,Six Sigma,,,,,,,,,,R&D Engineer
,,,,,8.65,Business Analytics,1,,AutoCAD,,,,,,,,,,Business Analyst
,,,,,9.07,Economics,1,,CPA,,,,,,,,,,Content Writer
,,,,,9.28,Banking & Financial Services,0,,Scrum Master,,,,,,,,,,Supply Chain Manager
,,,,,7.07,Biotechnology (Masters),1,,AutoCAD,,,,,,,,,,VLSI Architect
,,,,,6.86,Artificial Intelligence,0,,Photoshop,,,,,,,,,,Data Analyst
,,,,,6.53,Human Resource Management,1,,Google Analytics,,,,,,,,,,HR Generalist
,,,,,6.57,Business Analytics (Advanced),2,,React,,,,,,,,,,HR Director
,,,,,8.98,Human Resource (Advanced),0,,AutoCAD,,,,,,,,,,Investment Banker
,,,,,8.93,Political Science,0,,CPA,,,,,,,,,,Content Writer
,,,,,7.66,Operations Management,2,,Java,,,,,,,,,,Marketing Executive
,,,,,8.02,Food Technology,0,,AutoCAD,,,,,,,,,,Biomedical Engineer
,,,,,6.66,Physics,0,,AWS,,,,,,,,,,Data Analyst
,,,,,9.8,Nutrition & Dietetics,0,,C++,,,,,,,,,,Clinical Research Associate
,,,,,7.44,History,2,,C++,,,,,,,,,,Policy Analyst
,,,,,6.66,International Business,0,,Photoshop,,,,,,,,,,HR Generalist
,,,,,9.6,Digital Marketing,1,,PMP,,,,,,,,,,Business Analyst
,,,,,9.86,Philosophy,2,,AWS,,,,,,,,,,Content Writer
,,,,,6.24,Biotechnology,1,,Photoshop,,,,,,,,,,Food Safety Officer
S135,25.0,Male,3.8,1500.0,9.25,Business,3,7.0,3,9.0,8.0,4.0,104000.0,9.0,2.0,Mid,6.0,No,
,,,,,7.52,International Business,1,,CPA,,,,,,,,,,Financial Auditor
S320,25.0,Female,3.6,1400.0,8.5,Law,3,6.0,3,8.0,7.0,3.0,88000.0,8.0,3.0,Mid,6.0,No,
,,,,,8.58,Information Technology (M.Sc),2,,AWS,,,,,,,,,,Senior Researcher
,,,,,7.63,Human Resource (Advanced),2,,,,,,,,,,,,Product Manager
,,,,,9.49,Finance,0,,Google Analytics,,,,,,,,,,Business Analyst
,,,,,9.7,Marketing (Advanced),1,,AutoCAD,,,,,,,,,,Investment Banker
,,,,,8.5,Agriculture Engineering,1,,Google Analytics,,,,,,,,,,Biomedical Engineer
,,,,,7.45,Animation & Multimedia,0,,CFA,,,,,,,,,,Fashion Stylist
,,,,,6.63,Graphic Design,1,,React,,,,,,,,,,Fashion Stylist
,,,,,7.94,Microbiology (M.Sc),1,,Photoshop,,,,,,,,,,Data Engineer
,,,,,8.79,Animation & Multimedia,0,,CPA,,,,,,,,,,UI/UX Designer
,,,,,7.76,Artificial Intelligence,2,,AutoCAD,,,,,,,,,,Lab Technician
,,,,,6.13,Mechanical Design,0,,Python,,,,,,,,,,Robotics System Architect
,,,,,7.11,Aeronautical Engineering,1,,Python,,,,,,,,,,Automotive Design Engineer
,,,,,9.99,Performing Arts,0,,CPA,,,,,,,,,,Journalist
S350,25.0,Female,3.7,1400.0,8.75,Psychology,3,7.0,3,8.0,7.0,3.0,88000.0,8.0,2.0,Mid,7.0,No,
,,,,,7.02,Logistics & Supply Chain,2,,Python,,,,,,,,,,HR Generalist
,,,,,8.45,Computer Science Engineering (Masters),2,,Six Sigma,,,,,,,,,,Senior Data Scientist
,,,,,7.45,Computer Science,1,,,,,,,,,,,,Data Analyst
,,,,,6.08,Political Science,0,,Photoshop,,,,,,,,,,Social Worker
,,,,,6.87,IT Management,0,,React,,,,,,,,,,HR Director
,,,,,8.97,English,1,,Python,,,,,,,,,,Content Writer
,,,,,8.59,Metallurgical Engineering,2,,Java,,,,,,,,,,Project Manager
,,,,,7.61,Public Administration,1,,CPA,,,,,,,,,,Public Relations Officer
,,,,,8.16,Mechanical Engineering ,1,,Scrum Master,,,,,,,,,,Structural Engineer
,,,,,6.56,Automobile Engineering,1,,Google Analytics,,,,,,,,,,Automotive Design Engineer
,,,,,6.86,Biotechnology,0,,PMP,,,,,,,,,,Automotive Design Engineer
,,,,,8.14,Data Science (M.Sc),0,,Six Sigma,,,,,,,,,,Data Engineer
,,,,,7.42,Computer Applications,1,,PMP,,,,,,,,,,Tax Consultant
,,,,,6.96,Operations Management,2,,Google Analytics,,,,,,,,,,HR Generalist
,,,,,6.56,Fashion Design,1,,React,,,,,,,,,,Fashion Stylist
,,,,,8.67,Power Systems,1,,Python,,,,,,,,,,R&D Engineer
,,,,,6.74,Environmental Engineering,2,,,,,,,,,,,,Automotive Design Engineer
S397,24.0,Male,3.5,1300.0,8.25,Law,2,6.0,2,7.0,6.0,2.0,72000.0,7.0,4.0,Mid,6.0,No,
,,,,,6.85,Cybersecurity (Masters),0,,Java,,,,,,,,,,VLSI Architect
,,,,,7.04,Marketing,1,,AutoCAD,,,,,,,,,,HR Generalist
,,,,,6.5,Finance,2,,AutoCAD,,,,,,,,,,Sales Manager
,,,,,8.76,Instrumentation Engineering,1,,,,,,,,,,,,VLSI Design Engineer
,,,,,9.9,Economics,0,,Photoshop,,,,,,,,,,Content Writer
S119,21.0,Male,3.9,1580.0,9.75,Computer Science,4,9.0,5,10.0,9.0,5.0,148000.0,10.0,1.0,Senior,5.0,No,
,,,,,7.79,Structural Engineering,0,,Python,,,,,,,,,,Senior Data Scientist
,,,,,6.78,Computer Science (M.Sc),0,,AWS,,,,,,,,,,Clinical Psychologist
,,,,,8.42,Marketing (Advanced),0,,AutoCAD,,,,,,,,,,Product Manager
,,,,,7.92,Banking & Insurance,1,,PMP,,,,,,,,,,Financial Auditor
,,,,,6.48,Accounting & Finance,0,,CPA,,,,,,,,,,Bank Officer
,,,,,6.4,Interior Design,1,,AutoCAD,,,,,,,,,,Interior Architect
